file_path;concept_name;pattern;match_type;matched_text;similarity_score;first_line;name_score;summary_score
Cirq/cirq-core/cirq/contrib/quimb/Cirq-to-Tensor-Networks.py;/pennylane/pennylane.templates.tensornetworks.mps.MPS;Quantum Neural Network (QNN);summary;!/usr/bin/env python coding: utf-8 In[ ]: Cirq to Tensor Networks Here we demonstrate turning circuits into tensor network representations of the circ...;0.6944;0;;0.6944
Cirq/cirq-core/cirq/contrib/quimb/Cirq-to-Tensor-Networks.py;/pennylane/pennylane.templates.tensornetworks.ttn.TTN;Quantum Neural Network (QNN);summary;!/usr/bin/env python coding: utf-8 In[ ]: Cirq to Tensor Networks Here we demonstrate turning circuits into tensor network representations of the circ...;0.6752;0;;0.6752
Cirq/cirq-core/cirq/contrib/quimb/Cirq-to-Tensor-Networks.py;/pennylane/pennylane.templates.subroutines.select.Select;Dynamic Circuit;name;select;1.0000;234;1.0000;
OpenFermion/docs/fqe/tutorials/fermi_hubbard.py;/qiskit/qiskit.circuit.library.generalized_gates.diagonal.Diagonal;Circuit Construction Utility;name;diagonal;1.0000;377;1.0000;
Perceval/docs/source/notebooks/2-mode_Grover_algorithm.py;/qiskit-algorithms/qiskit_algorithms.amplitude_amplifiers.grover.Grover;Grover;summary;!/usr/bin/env python coding: utf-8 2-mode Grover's search algorithm We implement in this notebook a 2-mode optical realization of Grover's search algo...;0.6674;0;;0.6674
Perceval/docs/source/notebooks/2-mode_Grover_algorithm.py;expanded/repeat_grover_until_success;Grover;summary;!/usr/bin/env python coding: utf-8 2-mode Grover's search algorithm We implement in this notebook a 2-mode optical realization of Grover's search algo...;0.6674;0;;0.6674
Perceval/docs/source/notebooks/2-mode_Grover_algorithm.py;expanded/GroverOptimizer;Grover;summary;!/usr/bin/env python coding: utf-8 2-mode Grover's search algorithm We implement in this notebook a 2-mode optical realization of Grover's search algo...;0.6674;0;;0.6674
Perceval/docs/source/notebooks/Graph_States_Tutorial.py;/qiskit/qiskit.circuit.library.graph_state.GraphStateGate;Circuit Construction Utility;summary;!/usr/bin/env python coding: utf-8 Graph States I. Some definitions and properties of graph states Graph states are specific entangled states that are...;0.7415;0;;0.7415
Perceval/docs/source/notebooks/Graph_States_Tutorial.py;/qiskit/qiskit.circuit.library.graph_state.GraphState;Circuit Construction Utility;name;graph_state;1.0000;174;1.0000;
Perceval/docs/source/notebooks/QLOQ_QUBO_tutorial.py;/pennylane/pennylane.templates.layers.random.RandomLayers;Variational Quantum Algorithm (VQA);summary;!/usr/bin/env python coding: utf-8 QLOQ (Qubit Logic on Qudits) Welcome to this tutorial, where we explore **QLOQ** (Qubit Logic on Qudits) for linear...;0.6935;0;;0.6935
Perceval/docs/source/notebooks/Variational_Quantum_Eigensolver.py;/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.adapt_vqe.AdaptVQE;Variational Quantum Eigensolver (VQE);summary;!/usr/bin/env python coding: utf-8 Variational Quantum Eigensolver We provide a Perceval implementation  of original photonic Variational Quantum Eige...;0.6755;0;;0.6755
Perceval/docs/source/notebooks/Variational_Quantum_Eigensolver.py;/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.sampling_vqe.SamplingVQE;Variational Quantum Eigensolver (VQE);summary;!/usr/bin/env python coding: utf-8 Variational Quantum Eigensolver We provide a Perceval implementation  of original photonic Variational Quantum Eige...;0.7059;0;;0.7059
Perceval/docs/source/notebooks/Variational_Quantum_Eigensolver.py;/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.vqe.VQE;Variational Quantum Eigensolver (VQE);summary;!/usr/bin/env python coding: utf-8 Variational Quantum Eigensolver We provide a Perceval implementation  of original photonic Variational Quantum Eige...;0.7287;0;;0.7287
Perceval/docs/source/notebooks/Variational_Quantum_Eigensolver.py;expanded/adapt_vqe_ansatz;Variational Quantum Eigensolver (VQE);summary;!/usr/bin/env python coding: utf-8 Variational Quantum Eigensolver We provide a Perceval implementation  of original photonic Variational Quantum Eige...;0.6755;0;;0.6755
Perceval/docs/source/notebooks/Variational_Quantum_Eigensolver.py;expanded/VqlsOptimizer;Variational Quantum Eigensolver (VQE);summary;!/usr/bin/env python coding: utf-8 Variational Quantum Eigensolver We provide a Perceval implementation  of original photonic Variational Quantum Eige...;0.7287;0;;0.7287
Perceval/docs/source/notebooks/Variational_Quantum_Eigensolver.py;expanded/get_qc;Variational Quantum Eigensolver (VQE);summary;!/usr/bin/env python coding: utf-8 Variational Quantum Eigensolver We provide a Perceval implementation  of original photonic Variational Quantum Eige...;0.7287;0;;0.7287
Perceval/docs/source/notebooks/Variational_Quantum_Eigensolver.py;expanded/adapt_layer;Variational Quantum Eigensolver (VQE);summary;!/usr/bin/env python coding: utf-8 Variational Quantum Eigensolver We provide a Perceval implementation  of original photonic Variational Quantum Eige...;0.6755;0;;0.6755
ProjectQ/examples/mapper_tutorial.py;/pennylane/pennylane.templates.embeddings.qaoaembedding.QAOAEmbedding;Quantum Approximate Optimization Algorithm (QAOA);summary;!/usr/bin/env python coding: utf-8 ProjectQ Mapper Tutorial The aim of this short tutorial is to give an introduction to the ProjectQ mappers. Project...;0.6613;0;;0.6613
ProjectQ/examples/mapper_tutorial.py;/qiskit-algorithms/qiskit_algorithms.state_fidelities.base_state_fidelity.BaseStateFidelity;Uncompute;summary;!/usr/bin/env python coding: utf-8 ProjectQ Mapper Tutorial The aim of this short tutorial is to give an introduction to the ProjectQ mappers. Project...;0.6645;0;;0.6645
ProjectQ/examples/spectral_measurement.py;/classiq/open_library.functions.qpe.qpe_flexible;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Quantum Algorithm for Spectral Measurement with Lower Gate Count This tutorial shows how to implement the algorithm...;0.6840;0;;0.6840
