pattern,Project Coverage,Found In Projects
Variational Quantum Algorithm (VQA),14,"classiq-library, covalent, qiskit-addon-cutting, qiskit-algorithms, qiskit-braket-provider, qiskit-finance, qiskit-machine-learning, qiskit-nature, qiskit-optimization, squlearn, tensorcircuit, tensorcircuit-ng, tensorflow-quantum, torchquantum"
Variational Quantum Eigensolver (VQE),13,"Perceval, ProjectQ, classiq-library, client-superstaq, mitiq, qiskit-algorithms, qiskit-braket-provider, qiskit-finance, qiskit-nature, qiskit-optimization, tensorcircuit, tensorcircuit-ng, torchquantum"
Circuit Construction Utility,10,"OpenFermion, Perceval, Qualtran, ReCirq, classiq-library, client-superstaq, covalent, qiskit-braket-provider, qiskit-optimization, thewalrus"
Quantum Approximate Optimization Algorithm (QAOA),10,"Pulser, Qrisp, amazon-braket-algorithm-library, classiq-library, qiskit-algorithms, qiskit-braket-provider, qiskit-finance, qiskit-optimization, tensorcircuit, tensorcircuit-ng"
SWAP Test,8,"Perceval, classiq-library, covalent, qiskit-algorithms, qiskit-machine-learning, squlearn, tensorcircuit, tensorcircuit-ng"
Quantum Neural Network (QNN),7,"classiq-library, covalent, qibo, qiskit-machine-learning, squlearn, tensorcircuit, tensorcircuit-ng"
Basis Change,6,"Qrisp, Qualtran, amazon-braket-algorithm-library, catalyst, classiq-library, qibo"
Data Encoding,6,"Qrisp, Qualtran, catalyst, classiq-library, covalent, qiskit-machine-learning"
Grover,6,"Qrisp, amazon-braket-algorithm-library, catalyst, classiq-library, qiskit-algorithms, qiskit-optimization"
Quantum Phase Estimation (QPE),5,"Qrisp, Qualtran, amazon-braket-algorithm-library, classiq-library, guppylang"
Amplitude Amplification,4,"Qualtran, catalyst, classiq-library, qiskit-algorithms"
Quantum Arithmetic,4,"Qrisp, Qualtran, classiq-library, qiskit-finance"
Initialization,4,"ProjectQ, classiq-library, qiskit-algorithms, qiskit-optimization"
Domain Specific Application,4,"Qrisp, classiq-library, piquasso, qiskit-machine-learning"
Dynamic Circuit,3,"Cirq, classiq-library, quimb"
Quantum Amplitude Estimation,3,"Qualtran, classiq-library, qiskit-finance"
Uncompute,2,"qiskit-algorithms, qiskit-machine-learning"
Hamiltonian Simulation,2,"classiq-library, qiskit-algorithms"
Phase Shift,2,"catalyst, classiq-library"
Oracle,2,"classiq-library, qiskit-algorithms"
Creating Entanglement,1,classiq-library
Linear Combination of Unitaries,1,classiq-library
Quantum Logical Operators,1,Qualtran
